"doaj_publishers","Freq"
"Alexandru Ioan Cuza University of Iasi",7
"Adam Mickiewicz University, Poznan",7
"Volgograd State University",6
"Vesnu Publications ",6
"University of Windsor",6
"Universitetsforlaget",6
"Universitas Negeri Makassar",6
"Universitas Muhammadiyah Ponorogo",6
"Universitas Muhammadiyah Magelang",6
"Universitas Mercu Buana Yogyakarta",6
"Universitas Kristen Satya Wacana",6
"Universitas Islam Negeri Ar-Raniry",6
"Universidade Tecnológica Federal do Paraná",6
"Universidade Federal de Santa Catarina (UFSC)",6
"Universidade Federal de Alagoas",6
"Universidade Estadual Paulista Júlio de Mesquita Filho",6
"Universidade Estadual do Oeste do Paraná",6
"Universidad Pontificia Comillas",6
"Universidad Pontificia Bolivariana",6
"Universidad Politécnica Salesiana",6
"Universidad Pablo de Olavide",6
"Universidad Nacional del Comahue",6
"Universidad Nacional del Centro de la Provincia de Buenos Aires",6
"Universidad Nacional de La Pampa",6
"Universidad Militar Nueva Granada",6
"Universidad Libre",6
"Universidad del Norte",6
"Universidad de Zaragoza",6
"Universidad de Salamanca",6
"Universidad de La Habana",6
"Universidad de Jaén",6
"Thieme Medical and Scientific Publishers Pvt. Ltd.",6
"Sultan Qaboos University",6
"State Institute of Islamic Studies (IAIN) Tulungagung",6
"Sport Sciences Research Institute",6
"Scientific Route OÜ",6
"Sada Institute of Art and Language Studies",6
"Radcliffe Medical Media",6
"Queensland University of Technology",6
"Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS)",6
"Mazandaran University of Medical Sciences",6
"Kennesaw State University",6
"Kazan Federal University",6
"Kassel University Press",6
"Ivyspring International Publisher",6
"Iran University of Medical Sciences",6
"Institut Agama Islam Negeri (IAIN) Salatiga",6
"Badan Penelitian dan Pengembangan Kesehatan",6
"AVES",6
"AcademicPres",6
"Wolters Kluwer Health",5
"Vytautas Magnus University",5
"VM Media sp. z o.o. VM Group sp.k. Grupa Via Medica",5
"Via Medica",5
"UPV/EHU Press",5
"University of Zadar",5
"University of Tartu Press",5
"University of Tabriz",5
"University of Oslo",5
"University of Malaya",5
"University of Guilan",5
"Université de Limoges",5
"Universitas Syiah Kuala",5
"Universitas Sultan Ageng Tirtayasa",5
"Universitas Negeri Padang",5
"Universitas Lancang Kuning",5
"Universitas Kanjuruhan Malang",5
"Universitas Jenderal Soedirman",5
"Universitas Jambi",5
"Universitas Islam Negeri Raden Intan Lampung",5
"Universitas Islam Negeri Raden Fatah Palembang",5
"Universitas Islam Indonesia",5
"Universidade Regional Integrada do Alto Uruguai e das Missões (URI)",5
"Universidade Federal Rural do Rio de Janeiro",5
"Universidade Federal do Rio de Janeiro (UFRJ)",5
"Universidade Federal de São Paulo",5
"Universidade Federal de Mato Grosso (UFMT)",5
"Universidade Estadual de Montes Claros",5
"Universidade do Estado da Bahia",5
"Universidad Técnica de Manabí",5
"Universidad Simón Bolívar",5
"Universidad del Magdalena",5
"Universidad de Santiago de Chile",5
"Universidad de San Martín de Porres",5
"Universidad de San Buenaventura",5
"Universidad de Oriente",5
"Universidad de Nariño",5
"Universidad de La Sabana",5
"Universidad de La Rioja",5
"Universidad de Caldas",5
"Universidad Centroccidental Lisandro Alvarado",5
"Universidad Central del Ecuador",5
"UIR Press",5
"Thieme Publishers",5
"The Ohio State University Libraries",5
"Stefan cel Mare University of Suceava",5
"State Islamic University Sunan Kalijaga",5
"State College of Islamic Studies Pamekasan (STAIN Pamekasan) ",5
"Soegijapranata Catholic University",5
"Shahid Beheshti University",5
"Saratov State University",5
"Publishing House Zaslavsky",5
"Petrozavodsk State University",5
"Permanyer",5
"PeerJ Inc.",5
"Palacký University Olomouc",5
"Padova University Press",5
"Optical Society of America (OSA)",5
"OmniaScience",5
"Oles Honchar Dnipro National University",5
"Odessa National Academy of Food Technologies",5
"Odessa I. I. Mechnykov National University",5
"NISCAIR",5
"NIHR Journals Library",5
"Negah Institute for Scientific Communication",5
"National Research University Higher School of Economics",5
"Moscow Region State University Editorial Office",5
"Moldova State University",5
"Mersin University",5
"Mehmet Akif Ersoy University",5
"Masters Program in Public Health, Universitas Sebelas Maret",5
"LIDSEN Publishing Inc.",5
"LED Edizioni Universitarie ",5
"Kyiv National University of Culture and Arts",5
"Khon Kaen University",5
"ITB Journal Publisher",5
"Isfahan University of Technology ",5
"Irkutsk National Research Technical University",5
"Institut Agama Islam Negeri Raden Intan Lampung",5
"Hacettepe University",5
"Fundação Getúlio Vargas",5
"Erciyes University",5
"Elsevier España",5
"Editora da Universidade Federal de Uberlândia",5
"Cluj University Press",5
"Belarusian National Technical University",5
"Babol University of Medical Sciences",5
"American Physical Society",5
"Alfred Nobel University Publisher",5
"AIP Publishing LLC",5
"AboutScience Srl",5
"Aalborg University Press",5
"Yildiz Technical University",4
"Wydawnictwo Naukowe Uniwersytetu Mikolaja Kopernika",4
"WIT Press",4
"Winchester University Press",4
"West University of Timisoara",4
"West Asia Organization for Cancer Prevention",4
"Vilnius University ",4
"Vernadsky National Library of Ukraine",4
"Vasyl Stefanyk Precarpathian National University",4
"Ural Federal University",4
"University of Primorska",4
"University of Oradea",4
"University of Minnesota Libraries Publishing",4
"University of Ljubljana",4
"University of Huddersfield Press",4
"University of Debrecen",4
"University of Calgary",4
"University of Belgrade",4
"Université Clermont Auvergne",4
"Universitat Politecnica de Valencia",4
"Universitas Trunojoyo Madura",4
"Universitas Tarumanagara",4
"Universitas Negeri Semarang ",4
"Universitas Muria Kudus",4
"Universitas Muhammadiyah Malang",4
"Universitas Muhammadiyah Jakarta",4
"Universitas Mercu Buana",4
"Universitas Lampung",4
"Universitas Islam Negeri (UIN) Sunan Gunung Djati Bandung",4
"Universitas Gadjah Mada, Yogyakarta",4
"Universidade Presbiteriana Mackenzie",4
"Universidade Federal do Pará",4
"Universidade Federal de Rondônia",4
"Universidade Federal de Lavras",4
"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)",4
"Universidade Estadual do Sudoeste da Bahia",4
"Universidade Estadual do Paraná",4
"Universidade do Sul de Santa Catarina",4
"Universidade do Estado de Santa Catarina (UDESC)",4
"Universidade do Estado de Mato Grosso",4
"Universidade de Passo Fundo (UPF)",4
"Universidade de Fortaleza",4
"Universidade de Caxias do Sul",4
"Universidade da Coruña",4
"Universidad Pedagógica Nacional",4
"Universidad Nacional de Chimborazo",4
"Universidad Jorge Tadeo Lozano",4
"Universidad Francisco de Paula Santander",4
"Universidad EAFIT",4
"Universidad de Navarra",4
"Universidad de Manizales",4
"Universidad de Huelva",4
"Universidad de Extremadura",4
"Universidad de Deusto",4
"Universidad de Cuenca",4
"Universidad de Cienfuegos",4
"Universidad de Castilla-La Mancha",4
"Universidad de Cartagena",4
"Universidad Central de Venezuela",4
"Universidad Central ""Marta Abreu"" de Las Villas",4
"Universidad Católica de Colombia",4
"Universidad Autónoma de Nuevo León",4
"Universidad Autónoma de Baja California",4
"Universidad Academia de Humanismo Cristiano",4
"UNIB Press",4
"UMSurabaya Publishing",4
"Ukrmedknyha Publishing House",4
"Turkiye Klinikleri",4
"The Royal Society of Chemistry",4
"The British Editorial Society of Bone & Joint Surgery",4
"Taras Shevchenko National University of Kyiv",4
"Süleyman Demirel University",4
"STKIP PGRI Sumatera Barat",4
"Stepan Gzhytskyi National University of Veterinary Medicine and Biotechnologies Lviv",4
"STAIN Ponorogo",4
"Sriwijaya University",4
"Sprint Investify",4
"Social Sciences Research Society",4
"Shahrekord University of Medical Sciences",4
"Sebelas Maret University",4
"SciPost",4
"Rutgers University Libraries",4
"Romanian Foundation for Business Intelligence",4
"Romanian Academy",4
"Research Synergy Foundation",4
"Research Plus Journals",4
"Queen's University",4
"Penerbit Universiti Sains Malaysia",4
"Oles Honchar Dnipropetrovsk National University",4
"National University of Kyiv-Mohyla Academy",4
"National Technical University of Ukraine ",4
"Moscow Pedagogical State University, Federal State Budgetary Educational Institution of Higher Education ",4
"MGTU im. N.È. Baumana",4
"Medical Communications Sp. z o.o.",4
"McGill University",4
"MBI & UNS Solo",4
"Masaryk University",4
"Lublin University of Technology",4
"Levy Library Press",4
"Lembaga Layanan Pendidikan Tinggi Wilayah X",4
"Kaunas University of Technology",4
"JVE International",4
"Ivan Kozhedub Kharkiv National Air Force University",4
"International Union of Crystallography",4
"International Scientific Publications and Consulting Services (ISPACS)",4
"Inter-Research",4
"Instituto Tecnológico de Costa Rica",4
"Instituto Brasileiro de Pesquisa e Ensino em Fisiologia do Exercício",4
"Institut Teknologi Sepuluh Nopember",4
"Institut d'Estudis Catalans",4
"Immanuel Kant Baltic Federal University",4
"ICT Academy of Tamil Nadu",4
"Hrvatska akademija znanosti i umjetnosti",4
"Guilan University of Medical Sciences",4
"Galenos Publishing House",4
"Galati University Press",4
"Faculdade Meridional IMED",4
"F1000 Research Ltd",4
"European Publishing",4
"EconJournals",4
"ECIMED",4
"Danubius University ",4
"Cumhuriyet University",4
"CSRC Publishing",4
"Cracow University of Economics",4
"Consiglio Nazionale delle Ricerche (CNR)",4
"Conselho Nacional de Pesquisa e Pós-graduação em Direito",4
"Cogitatio",4
"Centro Universitário de Maringá",4
"Carleton University",4
"Budapest University of Technology ",4
"Borys Grinchenko Kyiv University",4
"Bond University",4
"Bioscientifica",4
"Babes-Bolyai University, Cluj-Napoca",4
"Babes-Bolyai University",4
"Australian International Academic Centre PTY. LTD.",4
"American Society for Microbiology",4
"American Geophysical Union (AGU)",4
"American Association for the Advancement of Science",4
"Altay State University",4
"Afarand Scholarly Publishing Institute",4
"Academic Conferences and Publishing International",4
"4S go, s.r.o.",4
"«Publishing company «World of science», LLC",4
"Zhytomyr Polytechnic State University",3
"Zaporozhye State Medical University",3
"Yaroslav Mudryi National Law University",3
"White Rose University Press",3
"Warsaw University of Life Sciences",3
"VSB-Technical University of Ostrava",3
"Virginia Tech Libraries",3
"Vilnius Gediminas Technical University",3
"Via Medica sp. z.o.o. VM Group Via Medica",3
"Valahia University Press",3
"V.N. Karazin Kharkiv National University Publishing",3
"V.N. Karazin Kharkiv National University",3
"Utah State University",3
"University of Zagreb, Faculty of Law",3
"University of the Philippines",3
"University of the Free State",3
"University of Science and Technology, Yemen",3
"University of São Paulo",3
"University of North Carolina at Greensboro",3
"University of Niš",3
"University of Muhammadiyah Malang",3
"University of Messina",3
"University of Liege",3
"University of Kragujevac",3
"University of Kentucky",3
"University of Hawaii Press",3
"University of Dubrovnik",3
"University of California Press",3
"University of Birjand",3
"University of Bergen",3
"University of Barcelona",3
"University of Arizona Libraries",3
"Universiti Sains Malaysia",3
"Universiti Malaysia Pahang",3
"Universiti Kebangsaan Malaysia",3
"Université de Provence",3
"Universitat Rovira i Virgili ",3
"Universitat Politècnica de Catalunya",3
"Universitat Oberta de Catalunya",3
"Universitat Jaume I",3
"Universitat Autonoma de Barcelona",3
"Universitas Tanjungpura",3
"Universitas Sriwijaya",3
"Universitas Serang Raya",3
"Universitas Sarjanawiyata Tamansiswa Yogyakarta",3
"Universitas Sanata Dharma",3
"Universitas Pesantren Tinggi Darul Ulum (Unipdu) Jombang",3
"Universitas Pelita Harapan",3
"Universitas Muhammadiyah Semarang",3
"Universitas Muhammadiyah Pringsewu",3
"Universitas Islam Sultan Agung",3
"Universitas Islam Negeri Sunan Gunung Djati Bandung",3
"Universitas Islam Negeri (UIN) Walisongo Semarang",3
"Universitas Dian Nuswantoro",3
"Universitas Brawijaya",3
"Universitas Atma Jaya Yogyakarta",3
"Università degli Studi di Urbino Carlo Bo",3
"Universidade Salvador (UNIFACS)",3
"Universidade Metodista de São Paulo ",3
"Universidade Federal Rural de Pernambuco",3
"Universidade Federal do Estado do Rio de Janeiro",3
"Universidade Federal de Roraima",3
"Universidade Federal de Pelotas (UFPel)",3
"Universidade Federal de Campina Grande",3
"Universidade Federal da Fronteira Sul",3
"Universidade Estadual Paulista (UNESP)",3
"Universidade Estadual do Sudoeste da Bahia (UESB)",3
"Universidade Estadual de Mato Grosso do Sul",3
"Universidade Estadual de Londrina (UEL)",3
"Universidade do Vale do Rio dos Sinos (UNISINOS)",3
"Universidade do Vale do Itajaí ",3
"Universidade do Oeste Paulista",3
"Universidade do Oeste de Santa Catarina",3
"Universidade do Estado do Rio Grande do Norte",3
"Universidade do Estado do Mato Grosso",3
"Universidade de São Paulo ",3
"Universidade de Lisboa",3
"Universidad Veracruzana",3
"Universidad Ricardo Palma ",3
"Universidad Pedagógica y Tecnológica de Colombia",3
"Universidad Pedagógica Nacional ",3
"Universidad Nacional de Trujillo",3
"Universidad Nacional de Quilmes",3
"Universidad Nacional de Misiones",3
"Universidad Nacional de Colombia, sede Medellín",3
"Universidad Nacional de Asunción",3
"Universidad Nacional Autónoma de México (UNAM)",3
"Universidad ICESI",3
"Universidad Estatal de Milagro",3
"Universidad El Bosque",3
"Universidad Distrital Francisco Jose de Caldas",3
"Universidad del Zulia",3
"Universidad del Pacífico",3
"Universidad del Bío Bío",3
"Universidad de Talca",3
"Universidad de Santander",3
"Universidad de Pinar del Río ""Hermanos Saíz Montes de Oca""",3
"Universidad de Montevideo",3
"Universidad de Medellín, Sello Editorial",3
