PUBLISHER_NAME;PUBLISHER_FILENAME;PUBLISHER_MODE;PUBLISHER_URL;PUBLISHER_PAGES;PUBLISHER_PAGES_NR;PUBLISHER_RESULTS_NODE;PUBLISHER_RESULTS_REGEX;PUBLISHER_RESULTS_ADDCODE_YESNO;PUBLISHER_RESULTS_ADDITIONAL_CODE;PUBLISHER_RESULTS_PER_PAGE;PUBLISHER_PAGE_URL_BEFORE;PUBLISHER_PAGE_URL_AFTER;PUBLISHER_PAGE_I;JOURNALNAME_CSS;JOURNALNAMES_ADDCODE_YESNO;JOURNALNAMES_ADDITIONAL_CODE;JOURNAL_URL_NODES;JOURNALURL_ADDCODE_YESNO;JOURNALURL_ADDITIONAL_CODE;JOURNALURL_PASTE;COMMENT;OTHER
Mary Ann Liebert;liebert;rvest;https://home.liebertpub.com/publications/by-type/journals-print-online/714/;single;single;;;0;;;;;;body > main > div > div:nth-child(2) h4;1;"journalnames <- trimws(journalnames); journalnames <- gsub(""\\s\\s+"", "": "", journalnames)";body > main > div > div:nth-child(2) h4 > a;0;;https://home.liebertpub.com;fine;
Medcrave;medcrave;rvest;https://medcraveonline.com/journals;single;single;;;0;;;;;;"a[title=""Click view Journal""]";0;;"a[title=""Click view Journal""]";0;;https://medcraveonline.com;fine;
Medknow;medknow;rvest;https://www.medknow.com/journals.asp?tag=0;MULTIPLE;UNKNOWN;#content_inner > div:nth-child(3);.*?(?=Last);1;"results <- stringr::str_extract(results, "".{15,15}$""); results <- stringr::str_extract(results, ""(?<=pg=).*?(?=\"")"")";1;;;;;;;;;;;COMPLICATED;
Nauka;nauka;rvest;https://www.libnauka.ru/elektronnii-katalog/;MULTIPLE;9;;;0;;;https://www.libnauka.ru/elektronnii-katalog/?PAGEN_1=;;i;div.block-themes-category.block-themes-category-elems .edition__title;0;;div.block-themes-category.block-themes-category-elems .edition__title > a;0;;https://www.libnauka.ru;fine;RUSSIAN_ENCODING
Nova Science;nova;rvest;https://novapublishers.com/product-category/journals/;MULTIPLE;UNKNOWN;p.woocommerce-result-count:nth-child(3);(?<=of ).*?(?= );0;;16;https://novapublishers.com/product-category/journals/page/;/;i;h2.woocommerce-loop-product__title;0;;li.product > a;0;;;fine;
Oxford University Press;oup;rvest;https://academic.oup.com/journals/pages/journals_a_to_z;single;single;;;0;;;;;;.secondaryContent a;1;journalnames <- journalnames[nchar(journalnames) > 1];.secondaryContent a;1;journalurl <- journalurl[nchar(journalurl) > 2];;fine;OMIT_ALL_UNIQUE
PAGEPress;pagepress;rvest;https://www.pagepressjournals.org/public/news/journals.html;single;single;;;0;;;;;;div.RichTextElement > div > ul > li > a;0;;div.RichTextElement > div > ul > li > a;0;;;fine;
Philosophy Documentation Center;pdc;rvest;https://www.pdcnet.org/pdc/bvdb.nsf/journalindex?readform;single;single;;;0;;;;;;div.journalindexliste ul > li;0;;div.journalindexliste ul > li > a;0;;https://www.pdcnet.org;fine;
Peter Lang;peterlang;{STH MISSING HERE};;;;;;;;;;;;;;;;;;;;
Pleiades;pleiades;rvest;https://www.pleiades.online/en/journals/catalog/publisher/5/;single;single;;;0;;;;;;div.book_item_text h3;0;;div.book_item_link > div:nth-child(1) > a;;;https://www.pleiades.online;fine;
Science Domain International;scidomain;rvest;https://www.sciencedomain.org/journals;single;single;;;0;;;;;;section div.row div.col-sm-12 p;0;;section div.row div.col-sm-12 p;0;;;fine;
Science and Education Publishing;sciep;rvest;http://www.sciepub.com/portal/Journals;single;single;;;0;;;;;;tbody > tr > td > a.fontlock;0;;tbody > tr > td > a.fontlock;0;;;fine;
Springer;springer;{STH MISSING HERE};;;;;;;;;;;;;;;;;;;COMPLICATED (ALPHABET);
Springer Nature;nature;rvest;https://www.nature.com/siteindex;single;single;;;0;;;;;;.grid-8 > div:nth-child(4) li;0;;.grid-8 > div:nth-child(4) li > a;0;;https://www.nature.com;fine;
