PUBLISHER_NAME	PUBLISHER_FILENAME	PUBLISHER_MODE	PUBLISHER_URL	PUBLISHER_PAGES	PUBLISHER_PAGES_NR	PUBLISHER_RESULTS_NODE	PUBLISHER_RESULTS_REGEX	PUBLISHER_RESULTS_ADDCODE_YESNO	PUBLISHER_RESULTS_ADDITIONAL_CODE	PUBLISHER_RESULTS_PER_PAGE	PUBLISHER_PAGE_URL_BEFORE	PUBLISHER_PAGE_URL_AFTER	PUBLISHER_PAGE_I	JOURNALNAME_CSS	JOURNALNAMES_ADDCODE_YESNO	JOURNALNAMES_ADDITIONAL_CODE	JOURNAL_URL_NODES	JOURNALURL_ADDCODE_YESNO	JOURNALURL_ADDITIONAL_CODE	JOURNALURL_PASTE	COMMENT	OTHER
Philosophy Documentation Center	pdc	rvest	https://www.pdcnet.org/pdc/bvdb.nsf/journalindex?readform	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.journalindexliste ul > li	0	NA	div.journalindexliste ul > li > a	0	NA	https://www.pdcnet.org	fine	NA
Peter Lang	peterlang	{STH MISSING HERE}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pleiades	pleiades	rvest	https://www.pleiades.online/en/journals/catalog/publisher/5/	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.book_item_text h3	0	NA	div.book_item_link > div:nth-child(1) > a	NA	NA	https://www.pleiades.online	fine	NA
Science Domain International	scidomain	rvest	https://www.sciencedomain.org/journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	section div.row div.col-sm-12 p	0	NA	section div.row div.col-sm-12 p	0	NA	NA	fine	NA
Science and Education Publishing	sciep	rvest	http://www.sciepub.com/portal/Journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	tbody > tr > td > a.fontlock	0	NA	tbody > tr > td > a.fontlock	0	NA	NA	fine	NA
Springer	springer	{STH MISSING HERE}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COMPLICATED (ALPHABET)	NA
Springer Nature	nature	rvest	https://www.nature.com/siteindex	single	single	NA	NA	0	NA	NA	NA	NA	NA	.grid-8 > div:nth-child(4) li	0	NA	.grid-8 > div:nth-child(4) li > a	0	NA	https://www.nature.com	fine	NA
Palgrave	palgrave	rvest	https://www.palgrave.com/gp/journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.cms-collection-list li > a > span	1	journalnames <- journalnames[nchar(journalnames) > 2]	div.cms-collection-list li > a	1	"journalurl[grepl(""(http.{0,1}://www.palgrave.com/.{5,5}|http://www.nature.com/palcomms/)"", journalurl)]"	NA	fine	NA
Taylor & Francis	tandf	{STH MISSING HERE}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COMPLICATED (ALPHABET)	NA
Thieme	thieme	rvest	https://www.thieme.de/de/thieme-gruppe/abo-zeitschriften-25118.htm	single	single	NA	NA	0	NA	NA	NA	NA	NA	#newspaper-list_25119 > ul > li strong	0	NA	#newspaper-list_25119 > ul > li > ul > li:nth-child(1) a	1	"journalurl <- ifelse(grepl('^https://', journalurl), journalurl, paste0('https://www.thieme.de', journalurl)); journalurl <- Filter(function(x) !any(grepl(""shop/"", x)), journalurl)"	NA	error with number of journals/links	NA
University of Alberta Press	ualberta	rvest	https://library.ualberta.ca/publishing/open-journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	"div.left-large > p > a[target=""_blank""]"	0	NA	"div.left-large > p > a[target=""_blank""]"	0	NA	NA	fine	NA
Wiley	wiley	rvest	NA	MULTIPLE	55	NA	NA	0	NA	NA	https://onlinelibrary.wiley.com/action/showPublications?PubType=journal&pageSize=50&startPage=	NA	i-1	li.search__item h3	0	NA	li.search__item a.visitable	0	NA	https://onlinelibrary.wiley.com	COMPLICATED	NA
